codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
69121,Lozanne,200040574,1,26,76,2854,100.0,100.0
69122,Lucenay,200040574,0,13,74,1964,22.88,46.15
69123,Lyon,200046977,0,0,0,0,,
69124,Marchampt,200067817,0,4,65,432,0.0,0.0
69125,Marcilly-d'Azergues,200040574,1,8,40,862,100.0,100.0
69126,Marcy,200040574,0,1,36,760,0.0,0.0
69127,Marcy-l'Étoile,200046977,0,20,53,3144,100.0,100.0
69130,Meaux-la-Montagne,200040566,0,2,23,154,0.0,0.0
69131,Messimy,246900724,0,26,107,3509,,
69132,Meys,200066587,0,7,109,772,,
69133,Millery,246900757,0,16,69,3482,0.4,0.0
69134,Moiré,200040574,0,3,17,160,33.75,33.33
69135,Deux-Grosnes,200067817,0,19,255,1698,0.0,0.0
69136,Montagny,246900757,0,16,91,3162,0.0,0.0
69137,Montmelas-Saint-Sorlin,200040590,0,4,22,352,0.0,0.0
69138,Montromant,200066587,0,1,52,400,,
69139,Montrottier,200066587,0,12,151,1362,,
69140,Morancé,200040574,0,14,90,2122,22.67,35.71
69141,Mornant,246900740,0,47,153,6070,,
69142,La Mulatière,200046977,0,24,14,3704,100.0,100.0
69143,Neuville-sur-Saône,200046977,0,65,56,5965,99.92,100.0
69145,Odenas,200067817,0,7,65,882,0.0,0.0
69148,Orliénas,246900740,0,12,110,2488,,
69149,Oullins,200046977,2,181,76,18498,100.0,100.0
69151,Le Perréon,200040590,0,10,68,1130,0.0,0.0
69153,Poleymieux-au-Mont-d'Or,200046977,0,9,42,1062,97.04,100.0
69154,Pollionnay,246900724,0,17,122,2662,,
69155,Pomeys,200066587,0,9,100,976,,
69156,Pommiers,200040574,0,8,108,2340,60.3,62.5
69157,Vindry-sur-Turdine,200040566,1,32,236,5214,88.82,93.75
69159,Porte des Pierres Dorées,200040574,0,29,166,3713,0.0,0.0
