CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
30232,9,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30233,16,1,0,9,2,0,0,2,0,0,0,0,0,0,0,0,1,1
30234,13,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3,1
30235,17,1,0,8,5,0,0,0,0,0,0,0,0,0,0,0,2,1
30236,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30237,19,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,1,1
30238,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30239,14,1,1,6,4,0,0,0,0,0,0,0,0,0,0,1,0,1
30240,11,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30241,70,1,1,38,11,0,4,5,0,0,1,1,2,0,0,0,5,1
30242,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30243,219,1,4,107,50,4,8,20,0,0,0,3,2,3,2,0,14,1
